,Provider_Name,Address,County,City,Doses_W1,Doses_W2,Doses_W3,Doses_W4,Doses_W5,Doses_W6,Sum
1944,Surgery Center of Texas,6020 West Plano Parkway,COLLIN,Plano,NA,NA,NA,NA,100,NA,100
1945,Surgical Arts Center,6501 Blanco Rd,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
1946,Susan L Boullioun Md Family Practice,113 E Cedar St,GUADALUPE,Seguin,NA,NA,NA,100,NA,NA,100
1947,Sweeny Community Hospital,305 N Mckinney St,BRAZORIA,Sweeny,NA,NA,200,NA,NA,NA,200
1948,Swiftcare Urgent Care,1201 N Main St,TARRANT,Euless,NA,1000,NA,NA,NA,NA,1000
1949,Swisher Memorial Healthcare System,539 Se 2nd St,SWISHER,Tulia,NA,NA,100,NA,NA,NA,100
1950,syed a gardezi md,1628 crabb river rd,FORT BEND,Richmond,NA,NA,NA,100,NA,NA,100
1951,Taft Family Health Center,1210 Gregory St Ste 2,SAN PATRICIO,Taft,NA,NA,NA,100,NA,NA,100
1952,Tarrant Co Ph Bagsby,3212 Miller Ave,TARRANT,Fort Worth,NA,NA,NA,100,NA,NA,100
1953,Tarrant Co Ph Imm Outreach,1101 S Main St Ste 1350,TARRANT,Fort Worth,NA,3000,7200,4925,NA,9000,24125
1954,Tarrant Co Ph Nw Health Ctr,3800 Adam Grubb,TARRANT,Fort Worth,NA,NA,NA,100,NA,NA,100
1955,Tarrant Co Ph Sw Health Ctr,6551 Granbury Rd,TARRANT,Fort Worth,NA,NA,NA,100,NA,NA,100
1956,Tarrant Co Ph Watauga Health,6601 Watauga Rd,TARRANT,Fort Worth,NA,900,NA,NA,NA,NA,900
1957,Tarrant County Public Health,1101 S Main St Ste 1350,TARRANT,Fort Worth,NA,NA,NA,NA,9000,NA,9000
1958,Tarrytown Pharmacy,2727 Exposition Blvd,TRAVIS,Austin,NA,500,NA,NA,NA,NA,500
1959,TCH Main,6621 Fannin St Mc 22510,HARRIS,Houston,NA,975,7925,1275,NA,3900,14075
1960,Tejas Medical Associates,6510 Hillcroft St Ste 200,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
1961,Terrell State Hospital,1200 E Brin St,KAUFMAN,Terrell,NA,NA,100,NA,NA,NA,100
1962,Terrell State Hospital,NA,KAUFMAN,Terrell,975,NA,NA,NA,NA,NA,975
1963,Texas A And M University Health,6300 Ocean Drive,NUECES,Corpus Christi,NA,NA,NA,NA,100,NA,100
1964,Texas A&M Health Family Care Clinic,2900 E 29th St,BRAZOS,Bryan,NA,NA,NA,NA,100,NA,100
1965,Texas Behavioral Health,"104 Whispering Pines Ave,",GALVESTON,Friendswood,NA,500,NA,NA,NA,NA,500
1966,Texas Cancer Care Research Ctr,1700 W Hwy 6,MCLENNAN,Waco,NA,NA,NA,100,NA,NA,100
1967,Texas Cancer Center Abilene So,1957 Antilley Rd,TAYLOR,Abilene,NA,NA,NA,100,NA,NA,100
1968,Texas Cancer Center Seton Wm,301 Seton Pkwy Ste 104,WILLIAMSON,Round Rock,NA,NA,NA,200,NA,NA,200
1969,Texas Center For Infectious Disease,2303 Se Military Dr,BEXAR,San Antonio,NA,NA,NA,NA,200,NA,200
1970,Texas Centers for Infectious Disease Associates,1025 College Ave,TARRANT,Fort Worth,NA,100,NA,NA,NA,NA,100
1971,Texas Children's Hospital Main,NA,HARRIS,Houston,3900,NA,NA,NA,NA,NA,3900
1972,Texas Children's Hospital West Campus,18200 Katy Freeway,HARRIS,Houston,NA,NA,1075,NA,NA,NA,1075
1973,Texas Children's Hospital West Campus,NA,HARRIS,Houston,975,NA,NA,NA,NA,NA,975
1974,Texas Children's Hospital Woodlands,17600 Interstate 45 S,MONTGOMERY,Conroe,NA,NA,1075,NA,NA,NA,1075
1975,Texas Children's Hospital Woodlands,NA,MONTGOMERY,Conroe,975,NA,NA,NA,NA,NA,975
1976,Texas Christian University Health Center,2825 Stadium Dr,TARRANT,Fort Worth,NA,100,NA,NA,NA,NA,100
1977,Texas Dads State Supportive Living Center Lufkin,6844 U.S. 69,ANGELINA,Pollok,NA,1100,NA,100,NA,NA,1200
1978,Texas Department of Criminal Justice Allred,2101 FM 369 N,WICHITA,Iowa Park,NA,NA,NA,100,NA,NA,100
1979,Texas Department of Criminal Justice BETO,1391 FM 3328,ANDERSON,Tennessee Colony,NA,NA,NA,100,NA,NA,100
1980,Texas Department of Criminal Justice BOYD,200 Spur 113,FREESTONE,Teague,NA,NA,NA,100,NA,NA,100
1981,Texas Department of Criminal Justice CLEMENTS,9601 Spur 591,POTTER,Amarillo,NA,100,NA,NA,NA,200,300
1982,Texas Department of Criminal Justice COFFIELD,2661 FM 2054,ANDERSON,Tennessee Colony,NA,NA,NA,100,NA,NA,100
1983,Texas Department of Criminal Justice CONNALLY,899 FM 632,KARNES,Kenedy,NA,NA,NA,100,NA,NA,100
1984,Texas Department of Criminal Justice COTULLA,610 FM 624,LA SALLE,Cotulla,NA,NA,NA,100,NA,NA,100
1985,Texas Department of Criminal Justice CRAIN,1401 Sate School Rd,CORYELL,Gatesville,NA,NA,NA,100,NA,NA,100
1986,Texas Department of Criminal Justice DALHART,11950 FM 998,DALLAM,Dalhart,NA,100,NA,NA,NA,NA,100
1987,Texas Department of Criminal Justice DARRINGTON,59 Darrington Rd,BRAZORIA,Rosharon,NA,NA,NA,100,NA,400,500
1988,Texas Department of Criminal Justice DIBOLL,1604 First Street,ANGELINA,Diboll,NA,NA,NA,100,NA,NA,100
1989,Texas Department of Criminal Justice DOMINGUEZ,6535 Cagnon Rd,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
1990,Texas Department of Criminal Justice DUNCAN,1502 S. First Street,ANGELINA,Diboll,NA,NA,NA,100,NA,NA,100
1991,Texas Department of Criminal Justice EAST TX ISF,900 Industrial Drive,RUSK,Henderson,NA,NA,NA,100,NA,NA,100
1992,Texas Department of Criminal Justice ESTELLE,264 FM 3478,WALKER,Huntsville,NA,200,NA,NA,NA,NA,200
1993,Texas Department of Criminal Justice GARZA,4250 Hwy 202,BEE,Beeville,NA,NA,NA,100,NA,200,300
1994,Texas Department of Criminal Justice GOREE,7405 Hwy 75 South,WALKER,Huntsville,NA,NA,NA,NA,NA,200,200
1995,Texas Department of Criminal Justice Gurney,1385 FM 3328,ANDERSON,Palestine,NA,NA,NA,100,NA,NA,100
1996,Texas Department of Criminal Justice Hobby,742 FM 712,FALLS,Marlin,NA,100,NA,NA,NA,NA,100
1997,Texas Department of Criminal Justice Holliday,295 IH 45N,WALKER,Huntsville,NA,NA,NA,NA,100,NA,100
1998,Texas Department of Criminal Justice Hughes,3201 FM 929,CORYELL,Gatesville,NA,NA,NA,100,NA,NA,100
1999,Texas Department of Criminal Justice Hutchins,1500 E. Langdon Rd.,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100
2000,Texas Department of Criminal Justice Jester III,3 Jester Rd,FORT BEND,Richmond,NA,NA,NA,100,NA,NA,100
2001,Texas Department of Criminal Justice Jester IV,4 Jester Rd.,FORT BEND,Richmond,NA,NA,NA,100,NA,200,300
2002,Texas Department of Criminal Justice Lewis,777 FM 3497,TYLER,Woodville,NA,NA,NA,NA,100,NA,100
2003,Texas Department of Criminal Justice Luther,1800 Luther Drive,GRIMES,Navasota,NA,NA,NA,100,NA,NA,100
2004,Texas Department of Criminal Justice Lynchner,2350 Atascocita Rd.,HARRIS,Humble,NA,NA,NA,NA,100,NA,100
2005,Texas Department of Criminal Justice McConnell,3001 S. Emily Dr.,BEE,Beeville,NA,NA,NA,100,NA,NA,100
2006,Texas Department of Criminal Justice Michael,2664 FM 2054,ANDERSON,Tennessee Colony,NA,NA,NA,100,NA,NA,100
2007,Texas Department of Criminal Justice MIDDLETON,13055 FM 3522,TAYLOR,Abilene,NA,NA,NA,NA,100,NA,100
2008,Texas Department of Criminal Justice MONTFORD,8602 Peach,LUBBOCK,Lubbock,NA,400,NA,NA,NA,NA,400
2009,Texas Department of Criminal Justice Mt. View,2305 Ransom Road,CORYELL,Gatesville,NA,NA,NA,100,NA,NA,100
2010,Texas Department of Criminal Justice Murray,1916 N. Hwy 36 Bypass,CORYELL,Gatesville,NA,NA,NA,100,NA,NA,100
2011,Texas Department of Criminal Justice Pack 1,2400 Wallace Pack Road,GRIMES,Navasota,NA,NA,NA,100,NA,NA,100
2012,Texas Department of Criminal Justice Plane,904 FM 686,LIBERTY,Dayton,NA,NA,NA,100,NA,NA,100
2013,Texas Department of Criminal Justice Polunsky,3872 FM 350 South,POLK,Livingston,NA,NA,NA,100,NA,NA,100
2014,Texas Department of Criminal Justice Powledge,1400 FM 3452,ANDERSON,Palestine,NA,NA,NA,100,NA,NA,100
2015,Texas Department of Criminal Justice Ramsey 1,1100 FM655,BRAZORIA,Rosharon,NA,NA,NA,100,NA,NA,100
2016,Texas Department of Criminal Justice ROBERTSON,12071 FM 3522,TAYLOR,Abilene,NA,NA,NA,100,NA,NA,100
2017,Texas Department of Criminal Justice SANCHEZ,3901 State Jail Road,EL PASO,El Paso,NA,NA,NA,100,NA,NA,100
2018,Texas Department of Criminal Justice SAYLE,4176 FM 1800,STEPHENS,Breckenridge,NA,NA,NA,100,NA,NA,100
2019,Texas Department of Criminal Justice Skyview,379 FM 2972,CHEROKEE,Rusk,NA,100,NA,NA,NA,200,300
2020,Texas Department of Criminal Justice SMITH,1313 County Road 19,DAWSON,Lamesa,NA,100,NA,NA,NA,NA,100
2021,Texas Department of Criminal Justice Stiles,3060 FM 3514,JEFFERSON,Beaumont,NA,NA,NA,100,NA,NA,100
2022,Texas Department of Criminal Justice Stringfellow,1200 FM 655,BRAZORIA,Rosharon,NA,NA,NA,100,NA,NA,100
2023,Texas Department of Criminal Justice Telford,3899 State Hwy 98,BOWIE,New Boston,NA,NA,NA,100,NA,NA,100
2024,Texas Department of Criminal Justice Terrell,1300 FM 655,BRAZORIA,Rosharon,NA,NA,NA,100,NA,NA,100
2025,Texas Department of Criminal Justice Travis Cty,8101 FM 969,TRAVIS,Austin,NA,NA,NA,NA,NA,200,200
2026,Texas Department of Criminal Justice Willacy,1695 S. Buffalo Dr.,WILLACY,Raymondville,NA,NA,NA,100,NA,NA,100
2027,Texas Department of Criminal Justice Wynne,810 FM 2821,WALKER,Huntsville,NA,NA,NA,NA,100,NA,100
2028,Texas Department Of Public Safety,5805 N Lamar Blvd,TRAVIS,Austin,NA,200,NA,NA,NA,NA,200
2029,Texas Diabetes & Endocrinology,110 Deer Ridge Drive,WILLIAMSON,Round Rock,NA,500,NA,NA,NA,NA,500
2030,"Texas Health Care, P.L.L.C.",2821 Lackland Rd Ste 300,TARRANT,Fort Worth,NA,NA,NA,NA,300,NA,300
2031,Texas Health Harris Methodist Hospital Fort Worth,NA,TARRANT,Fort Worth,5850,NA,NA,NA,NA,NA,5850
2032,Texas Health Hospital Mansfield,2300 Lonestar Road,TARRANT,Mansfield,NA,NA,NA,NA,100,NA,100
2033,Texas Health Huguley Hospital - Fort Worth South,11801 South Fwy,TARRANT,Burleson,NA,NA,200,3225,NA,NA,3425
2034,Texas Health Huguley Hospital - Fort Worth South,NA,TARRANT,Burleson,975,NA,NA,NA,NA,NA,975
2035,Texas Health Medical Support,1100 Bridgewood,TARRANT,Fort Worth,NA,975,6925,7000,NA,9750,24650
2036,Texas Health Resources,1100 Bridgewood,TARRANT,Fort Worth,NA,NA,NA,NA,10050,NA,10050
2037,Texas MedClinic,13722 Embassy Row,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
2038,Texas Neuro Rehab Center,1106 W Dittmar Rd,TRAVIS,Austin,NA,NA,NA,NA,100,NA,100
2039,Texas Oncology Cedar Park,1401 Medical Pkwy Bldg C,WILLIAMSON,Cedar Park,NA,NA,300,NA,NA,NA,300
2040,Texas Oncology Houston Mem Cit,925 Gessner Rd,HARRIS,Houston,NA,NA,300,NA,NA,NA,300
2041,Texas Oncology Irving,2021 N Macarthur Blvd Ste 400,DALLAS,Irving,NA,NA,300,NA,NA,NA,300
2042,Texas Oncology Pa Beaumont,690 N 14th St,JEFFERSON,Beaumont,NA,NA,300,NA,NA,NA,300
2043,Texas Oncology Pa Katy,1331 W Grand Pkwy N Ste 340,HARRIS,Katy,NA,NA,NA,100,NA,NA,100
2044,Texas Oncology Pa Willowbrook,13215 Dotson Rd,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
2045,Texas Orthopedic Hospital,7401 South Main St,HARRIS,Houston,NA,300,NA,NA,NA,NA,300
2046,Texas Rehabilitation Hospital of Fort Worth,425 Alabama Avenue,TARRANT,Fort Worth,NA,NA,200,NA,NA,NA,200
2047,Texas Scottish Rite Hospital For Children,2222 Welborn St,DALLAS,Dallas,NA,NA,200,NA,NA,NA,200
2048,Texas Scottish Rite Hospital For Children,NA,DALLAS,Dallas,975,NA,NA,NA,NA,NA,975
2049,Texas Tech Family And Community Medicine,9849 Kenworthy St,EL PASO,El Paso,NA,100,NA,100,NA,NA,200
2050,Texas Tech Family Medicine,1400 S Coulter St # 5100,POTTER,Amarillo,NA,500,NA,400,NA,NA,900
2051,Texas Tech Health Science Center,701 W 5th St Ste 1111,ECTOR,Odessa,NA,200,NA,NA,NA,NA,200
2052,Texas Tech Health Science Center - Amarillo,NA,POTTER,Amarillo,975,NA,NA,NA,NA,NA,975
2053,Texas Tech Health Sciences Center,800 West 5th Street,ECTOR,Odessa,NA,NA,NA,300,NA,NA,300
2054,Texas Tech Pediatrics - Amarillo,1400 S Coulter St Ste 100,POTTER,Amarillo,NA,2500,NA,NA,NA,NA,2500
2055,Texas Tech Physicians Of El Paso At Transmountain Family Me ,2000-B Transmountain Rd,EL PASO,El Paso,NA,900,NA,NA,NA,NA,900
2056,Texas Tech University Health Science Center Immunization Off,3601 4th St Ms 8150,LUBBOCK,Lubbock,NA,3000,NA,NA,NA,NA,3000
2057,Texas Tech University Health Sciences Center El Paso Occupat ,4801 Alberta Ave Ste A02,EL PASO,El Paso,NA,2000,NA,NA,NA,NA,2000
2058,Texas Vaccine Institute,21811 Katy Fwy Ste D102,HARRIS,Katy,NA,300,NA,NA,NA,NA,300
2059,Texas Woman's University,604 Administration Drive,DENTON,Denton,NA,2100,NA,NA,NA,NA,2100
2060,Texoma Cancer Center,5400 Kell Blvd,WICHITA,Wichita Falls,NA,NA,NA,100,NA,NA,100
2061,Texoma Hospital Partners LLC,1810 US Hwy 82 West,GRAYSON,Sherman,NA,NA,NA,NA,400,NA,400
2062,Texoma Medical Center- Hospital Patients,5016 S Us Highway 75,GRAYSON,Denison,1950,975,3625,NA,NA,NA,6550
2063,Texomacare Family Practice - Dension,5012 Us Hwy 75 South,GRAYSON,Denison,NA,500,NA,NA,NA,NA,500
2064,The Center For Cancer And Blood Disorders,800 W Magnolia Ave,TARRANT,Fort Worth,NA,100,NA,NA,NA,NA,100
2065,The Colony ER Hospital,4780 State Hwy 121,DENTON,The Colony,NA,NA,100,NA,NA,NA,100
2066,The Drug Store,100 S Avenue E,HASKELL,Haskell,NA,NA,NA,100,NA,NA,100
2067,The Eddick Corporation,1015 Hillcrest Dr.,WILBARGER,Vernon,NA,100,NA,NA,NA,NA,100
2068,The Emergency Clinic at the Pearl,2015 Broadway St.,BEXAR,San Antonio,NA,NA,NA,100,100,NA,200
2069,The Health Center Of Helping Hands,401 W Rusk St Ste 100,ROCKWALL,Rockwall,NA,NA,NA,NA,NA,400,400
2070,The Heights Emergency Room,101 North Loop W,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
2071,The Hospital At Westlake Medical Center,5656 Bee Caves Rd Ste M302,TRAVIS,Austin,NA,NA,200,NA,100,NA,300
2072,The Hospitals of Providence East Campus,3280 Joe Battle Blvd,GALVESTON,Galveston,NA,3000,NA,NA,NA,NA,3000
2073,The Hospitals of Providence East Campus,NA,EL PASO,El Paso,975,NA,NA,NA,NA,NA,975
2074,The Hospitals of Providence Memorial Campus,2001 N Oregon St,EL PASO,El Paso,NA,NA,300,NA,NA,NA,300
2075,The Hospitals of Providence Memorial Campus,NA,EL PASO,El Paso,975,NA,NA,NA,NA,NA,975
2076,The Hospitals Of Providence Sierra Campus,1625 Medical Center Dr,EL PASO,El Paso,NA,700,100,NA,NA,NA,800
2077,The Hospitals Of Providence Transmountain Campus,2000 Transmountain Road,EL PASO,El Paso,NA,400,NA,NA,NA,NA,400
2078,The Immunization Clinic - Stafford,3727 Greenbriar Dr Ste 403,FORT BEND,Stafford,NA,500,NA,NA,NA,NA,500
2079,The Lady with the Lamp,2323 Riverway Oak Drive,HARRIS,Kingwood,NA,100,NA,NA,NA,NA,100
2080,The Medical Center Of Plano,3901 W 15th St,COLLIN,Plano,NA,NA,100,NA,300,NA,400
2081,The Medical Center Of Southeast Texas,2555 Jimmy Johnson Blvd,JEFFERSON,Port Arthur,NA,NA,NA,NA,300,NA,300
2082,The Medical Center Of Southeast Texas,NA,JEFFERSON,Port Arthur,975,NA,NA,NA,NA,NA,975
2083,The Medicine Shoppe Pharmacy 0708,1624 N Travis St,GRAYSON,Sherman,NA,700,NA,NA,NA,NA,700
2084,The Medicine Shoppe Pharmacy 0939,903 W Frank Ave,ANGELINA,Lufkin,NA,200,NA,NA,NA,NA,200
2085,THE PHYSICIANS CENTRE HOSPITAL,3131 University Dr E,BRAZOS,Bryan,NA,NA,NA,NA,200,NA,200
2086,The Prescription Shop,120 S Grand Ave,ELLIS,Waxahachie,NA,NA,NA,100,NA,NA,100
2087,The San Antonio Orthopaedic Group,400 Concord Plaza Dr Ste 300,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
2088,"The Surgery Center at Williamson, LLC","301 Seton Parkway, Suite 200",WILLIAMSON,Round Rock,NA,100,NA,NA,NA,NA,100
2089,The University of Texas at El Paso,500 W. University Ave,EL PASO,El Paso,NA,NA,NA,NA,NA,975,975
2090,The University of Texas at San Antonio,One UTSA Circle,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
2091,Throckmorton Rural Health Clinic,802 N Minter Ave Ste B,THROCKMORTO,Throckmorton,NA,NA,100,NA,NA,NA,100
2092,Throckmorton Rural Health Clinic,802 N Minter Ave Ste B,THROCKMORTON,Throckmorton,NA,NA,NA,NA,NA,100,100
2093,Thurman's Pro-Med Pharmacy,402 N Madison Ave,TITUS,Mount Pleasant,NA,NA,NA,100,NA,NA,100
2094,TIRR Memorial Hermann Pharmacy,1333 Moursund St,HARRIS,Houston,NA,800,1000,NA,NA,NA,1800
2095,Titus Regional Medical Center,2001 North Jefferson,TITUS,Mount Pleasant,NA,700,NA,NA,300,400,1400
2096,Tlc Clinic Pllc,12600 Scarsdale Blvd Ste A,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
2097,Tmc Bonham Hospital,504 Lipscomb St,FANNIN,Bonham,NA,200,300,NA,NA,975,1475
2098,Tom Thumb Pharmacy 0296,6800 W Virginia Parkway,COLLIN,McKinney,NA,NA,NA,100,NA,NA,100
2099,Tom Thumb Pharmacy 1540,3757 Forest Ln,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100
2100,Tom Thumb Pharmacy 1780,1000 Keller Parkway,TARRANT,Keller,NA,NA,100,NA,NA,NA,100
2101,Tom Thumb Pharmacy 1781,106 N Denton Tap Road,DALLAS,Coppell,NA,NA,100,100,NA,NA,200
2102,Tom Thumb Pharmacy 1783,2645 Arapaho,DALLAS,Garland,NA,NA,100,100,NA,NA,200
2103,Tom Thumb Pharmacy 1785,1075 W Round Grove Rd,DENTON,Lewisville,NA,NA,100,100,NA,NA,200
2104,Tom Thumb Pharmacy 1786,4215 S Carrier Pkwy,DALLAS,Grand Prairie,NA,NA,100,100,NA,NA,200
2105,Tom Thumb Pharmacy 1788,7801 Alma,COLLIN,Plano,NA,NA,100,100,NA,NA,200
2106,Tom Thumb Pharmacy 1789,101 Trophy Lake Dr,DENTON,Roanoke,NA,NA,100,100,NA,NA,200
2107,Tom Thumb Pharmacy 1854,4301 Cross Timbers Rd,DENTON,Flower Mound,NA,NA,100,100,NA,NA,200
2108,Tom Thumb Pharmacy 1925,8805 Lakeview Pkwy,ROCKWALL,Rowlett,NA,NA,NA,100,NA,NA,100
2109,Tom Thumb Pharmacy 1972,980 Highway 287 N,TARRANT,Mansfield,NA,NA,NA,100,NA,NA,100
2110,Tom Thumb Pharmacy 1973,7000 Snider Plz,DALLAS,Dallas,NA,NA,100,NA,NA,NA,100
2111,Tom Thumb Pharmacy 2526,#39 Arapaho Village S.C.,DALLAS,Richardson,NA,NA,100,100,NA,NA,200
2112,Tom Thumb Pharmacy 2534,6333 East Mockingbird Lane,DALLAS,Dallas,NA,NA,100,100,NA,NA,200
2113,Tom Thumb Pharmacy 2544,10455 N. Central Expressway,DALLAS,Dallas,NA,NA,100,NA,NA,NA,100
2114,Tom Thumb Pharmacy 2554,3100 Independence Parkway,COLLIN,Plano,NA,NA,100,100,NA,NA,200
2115,Tom Thumb Pharmacy 2557,200 N Grand Ave,COOKE,Gainesville,NA,NA,NA,100,NA,NA,100
2116,Tom Thumb Pharmacy 2561,925 Northwest Hwy,DALLAS,Garland,NA,NA,100,100,NA,NA,200
2117,Tom Thumb Pharmacy 2570,5968 West Parker,COLLIN,Plano,NA,NA,100,NA,NA,NA,100
2118,Tom Thumb Pharmacy 2574,3000 S. Hulen,TARRANT,Fort Worth,NA,NA,100,NA,NA,NA,100
2119,Tom Thumb Pharmacy 2578,2535 N.E. Parkway,DALLAS,Garland,NA,200,100,NA,NA,NA,300
2120,Tom Thumb Pharmacy 2581,4848 Preston Rd,COLLIN,Frisco,NA,NA,100,100,NA,NA,200
2121,Tom Thumb Pharmacy 2590,4112 N. Josey,DENTON,Carrollton,NA,NA,NA,100,NA,NA,100
2122,Tom Thumb Pharmacy 2595,3945 Legacy Drive,COLLIN,Plano,NA,NA,200,100,NA,NA,300
2123,Tom Thumb Pharmacy 2609,612 Grapevine Hwy,TARRANT,Hurst,NA,NA,100,NA,NA,NA,100
2124,Tom Thumb Pharmacy 2642,5809 E Lovers Ln,DALLAS,Dallas,NA,NA,100,100,NA,NA,200
2125,Tom Thumb Pharmacy 2643,14280 Marsh Ln,DALLAS,Addison,NA,NA,NA,100,NA,NA,100
2126,Tom Thumb Pharmacy 2963,5550 F.M. 423,DENTON,Frisco,NA,NA,NA,100,NA,NA,100
2127,Tom Thumb Pharmacy 2990,7117 Inwood Rd,DALLAS,Dallas,NA,NA,100,100,NA,NA,200
2128,Tom Thumb Pharmacy 3296,2380 N Field St,DALLAS,Dallas,NA,100,300,NA,NA,NA,400
2129,Tom Thumb Pharmacy 3560,8698 Skillman St,DALLAS,Dallas,NA,NA,100,NA,NA,NA,100
2130,Tom Thumb Pharmacy 3563,633 W Wheatland Rd,DALLAS,Duncanville,NA,NA,100,100,NA,NA,200
2131,Tom Thumb Pharmacy 3579,900 W Mcdermott Dr,COLLIN,Allen,NA,NA,100,100,NA,NA,200
2132,Tom Thumb Pharmacy 3582,18212 Preston Rd,COLLIN,Dallas,NA,NA,100,100,NA,NA,200
2133,Tom Thumb Pharmacy 3597,11920 Preston Rd,DALLAS,Dallas,NA,NA,100,NA,NA,NA,100
2134,Tom Thumb Pharmacy 3608,7700 N. W. Hwy.,DALLAS,Dallas,NA,NA,100,NA,NA,NA,100
2135,Tom Thumb Pharmacy 3614,315 S Hampton Rd,DALLAS,Dallas,NA,NA,100,NA,NA,NA,100
2136,Tom Thumb Pharmacy 3617,2611 W Park Row Dr,TARRANT,Arlington,NA,NA,NA,100,NA,NA,100
2137,Tom Thumb Pharmacy 3621,4010 N Macarthur Blvd Ste 10,DALLAS,Irving,NA,NA,100,100,NA,NA,200
2138,Tom Thumb Pharmacy 3622,6377 Camp Bowie Blvd,TARRANT,Fort Worth,NA,NA,100,NA,NA,NA,100
2139,Tom Thumb Pharmacy 3623,210 E Pleasant Run Rd,DALLAS,Desoto,NA,NA,100,100,NA,NA,200
2140,Tom Thumb Pharmacy 3625,302 S Park Blvd,TARRANT,Grapevine,NA,NA,200,NA,NA,NA,200
2141,Tom Thumb Pharmacy 3637,1380 W Campbell Rd,DALLAS,Richardson,NA,NA,NA,100,NA,NA,100
2142,Tom Thumb Pharmacy 3641,3411 Custer Pkwy,COLLIN,Richardson,NA,NA,NA,100,NA,NA,100
2143,Tom Thumb Pharmacy 3645,2200 14th St,COLLIN,Plano,NA,NA,100,100,NA,NA,200
2144,Tom Thumb Pharmacy 3658,2755 N Collins St,TARRANT,Arlington,NA,NA,100,NA,NA,NA,100
2145,Tomball Regional Internal Medicine Associates,13414 Medical Complex Dr.,HARRIS,Tomball,NA,NA,NA,100,NA,NA,100
2146,Tops Surgical Specialty Hospital,17080 Red Oak Dr,HARRIS,Houston,NA,NA,300,NA,NA,NA,300
2147,Toth Enterprises Ii Victory Medical And Family Care,4303 Victory Dr,TRAVIS,Austin,NA,NA,NA,100,NA,NA,100
2148,Town And Country Family Physicians,10497 Town And Country Way Ste 360,HARRIS,Houston,NA,200,NA,NA,NA,NA,200
2149,Town of Fairview,372 Town Place,COLLIN,Fairview,NA,100,NA,NA,NA,NA,100
2150,Trinity Apothecary,"2501 E. Hebron Pkwy, Suite 100B",DENTON,Carrollton,NA,100,NA,NA,NA,NA,100
2151,Trinity Clinic Family Practice Henderson,105 Zeid Blvd # 2,RUSK,Henderson,NA,NA,NA,100,NA,NA,100
2152,Trinity Clinic Mineola,1302 N Pacific St,WOOD,Mineola,NA,100,NA,100,NA,NA,200
2153,Trinity Internal Medicine,313 E 12th St Ste 102 Ste 102,TRAVIS,Austin,NA,NA,NA,100,NA,NA,100
2154,Trott's Call Field Drug,4122 Call Field Rd,WICHITA,Wichita Falls,NA,100,NA,NA,NA,NA,100
2155,TRUBI1 LLC,200 WESLEY DR UNIT A,KERR,Kerrville,NA,100,NA,NA,NA,NA,100
2156,Ttuhsc-Son Combest Center,301 40th St,LUBBOCK,Lubbock,NA,NA,NA,NA,NA,100,100
2157,TTUHSC Combest Abilene Community Health Center,1749 Pine St,TAYLOR,Abilene,NA,NA,NA,NA,NA,100,100
2158,Ttuhsc Pharmacy,3601 4th Street 1a150,LUBBOCK,Lubbock,NA,1100,NA,NA,NA,NA,1100
2159,TXAM International University Student Hlth Ser,5201 University Blvd,WEBB,Laredo,NA,100,NA,100,NA,NA,200
2160,Txdads Brenham State Supported Living Center,4001 Highway 36 S,WASHINGTON,Brenham,NA,NA,300,400,NA,NA,700
2161,Tyler Complete Care,1809 Capital Dr,SMITH,Tyler,NA,NA,NA,200,NA,NA,200
2162,Tyler County Hospital Family Medical Clinic,104 N Beech St,TYLER,Woodville,NA,NA,NA,200,100,NA,300
2163,Tyler Family Circle Of Care - Tyler - 214 E. Houston,214 E Houston St,SMITH,Tyler,NA,NA,NA,NA,NA,100,100
2164,Uhs Family Health Clinic,903 W Martin St Fl 4,BEXAR,San Antonio,NA,1200,NA,NA,NA,NA,1200
2165,Uhs Harlandale Clinic,834 W Southcross Blvd Ste 1,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
2166,Uhs Hilliard Center,919 Locke St,BEXAR,San Antonio,NA,NA,NA,200,NA,NA,200
2167,Uhs Kenwood Clinic,302 Dora St,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
2168,Uhs Naco Perrin Clinic,4020 Naco Perrin Blvd,BEXAR,San Antonio,NA,100,NA,NA,NA,NA,100
2169,Uhs North,302 W Rector St,BEXAR,San Antonio,NA,2100,NA,200,NA,NA,2300
2170,Uhs Rbg Pedi 1st Floor,903 W Martin St,BEXAR,San Antonio,NA,NA,NA,300,NA,NA,300
2171,Uhs S. Flores Clinic,7902 S Flores St,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
2172,Uhs Southeast,1055 Ada St,BEXAR,San Antonio,NA,2500,NA,NA,NA,NA,2500
